Field Name,Data Type
deal_pipedrive_id,Text
title,Text
value,Text
weighted_value,Text
currency,Text
expected_close_date,Text
stage,Text
status,Text
owner,Text
basis_of_deal,Text
deal_size,Text
vendor_ownership_structure,Text
deal_source,Text
latest_status_acquisition_committee,Text
acquisition_type,Text
deal_structure,Text
fdd_lead,Text
rdd_lead,Text
introductory_company,Text
introduction_date,date
first_meeting_date,date
offer_made_date,date
hots_issued_date,date
hots_signed_date,date
deal_exchanged_date,date
deal_complete_date,date
headline_consideration,Text
ri_multiple,Text
net_turnover_multiple,Text
ebitda_multiple,Text
latest_recurring_income,Text
latest_new_business,Text
latest_turnover,Text
assets_under_advice,Text
number_of_clients,Text
number_of_households,Text
probability,Text
pipeline,Text
label,Text
broker_fee,Text
receiving_office,Text
perspective_entity,Text
perspective_principal,Text
perspective_regional_director,Text
reason_for_decline,Text
reason_for_decline_detail,Text
payment_schedule,Text
deal_address,Text
date_created,date
