Field Name,Data Type,,,
Deal Pipedrive ID,Text,5561,6590,6602
Date Created,Date,24/09/2024,20/03/2026,03/04/2026
Title,Text,Flowbird Org Ltd - Test,[Test] Flowbird Ltd,[test02 ]Flowbird Ltd
Weighted Value,Text,,,
Currency,Text,GBP,GBP,GBP
Expected Close Date,Date,,,
Date/Time,Date,,03/20/2026,04/03/2026
Status,Text,lost,open,open
Basis of Deal,Text,Net Turnover,Turnover,
Deal Size,Text,Large (>?1.25m EBITDA),Small (<?300k EBITDA),Small (<?300k EBITDA)
Vendor & Ownership Structure,Text,Testtest3,,
Deal Source,Text,Backbook review,Other,Other
Latest Status (Acquisition Committee),Text,V2 Test 123456,,
Acquisition Type,Text,Share,Share,
Deal Structure,Text,,,
Payment Schedule,Text,,,
Headline Consideration,Text,,,
RI Multiple,Text,,,
Net Turnover Multiple,Text,,,
EBITDA Multiple,Text,,,
EBITDA Multiple (post-Cambridge),Text,,,
Adviser Contracts Requested,Text,,,
Details of Property,Text,,,
Lease Details,Text,,,
Other Integration Notes,Text,,,
Other Regulatory Items of Note,Text,,,
Reason for Decline Detail,Text,test,,
Broker Fee,Text,Buyside,,
Client Letter Status,Text,,,
Loss Driver,Text,Perspective's Election,,
Mailing Data Status,Text,,,
Network Name (if applicable),Text,Julian Harris Networks,Advisor Network,
Ownership of Property,Text,,,
Perspective Entity,Text,Perspective (Central & East) Ltd,Perspective (South East) Ltd,
Perspective Principal,Text,N/a,,
Perspective Regional Director,Text,"Dan Stokoe,James Baird",,
Perspective Trading Style Registered,Text,,,
Post-Acquisition Office Plans,Text,Replace office with local alternative,,
RDD Lead,Text,,,
Reason for Decline,Text,Sold to another player,,
Receiving Office,Text,Perspective (South East),,
Regional Director / Regional Manager Introduction   ,Text,,,
Creator,Text,,,
Owner,Text,Pipedrive Support,Pipedrive Support,Pipedrive Support
Value,Text,"?2,000.00",?0.00,?0.00
Weighted value,Text,,,
Currency of Weighted value,Text,?0.00,?0.00,?0.00
Probability,Text,,,
Organisation Copy,Text,,,
Pipeline,Text,,,
Contact person,Text,675b1e4c8eaa9a02f07ed44a,69bd41c1d18be03b1b3a14d5,69bd41c1d18be03b1b3a14d5
Stage,Text,Declined,Introduction,Introduction
Label,Text,,,
Deal created,Date,24/09/2024 00:00,20/03/2026 00:00,03/04/2026 00:00
Update time,Date,25/09/2024 08:51,20/03/2026 13:21,03/04/2026 12:08
Last stage change,Text,,,
Next activity date,Date,25/09/2024,20/03/2026,03/04/2026
Last activity date,Date,25/09/2024,20/03/2026,03/04/2026
Won time,Text,,,
Won time : From/To,Text,,,
Won time : Formatted,Text,,,
Last email received,Date,25/09/2024 08:51,20/03/2026 13:21,03/04/2026 12:08
Last email sent,Date,25/09/2024 08:51,20/03/2026 13:21,03/04/2026 12:08
Lost time,Date,25/09/2024 08:51,20/03/2026 13:21,03/04/2026 12:08
Deal closed on,Date,25/09/2024 08:51,20/03/2026 13:21,03/04/2026 12:08
Lost reason,Text,,,
Visible to,Text,,,
Total activities,Text,,,
Done activities,Text,,,
Activities to do,Text,,,
Email messages count,Text,,,
Expected close date,Date,,,
Product quantity,Text,,,
Product amount,Text,,,
Product name,Text,,,
MRR,Text,,,
Currency of MRR,Text,,,
ARR,Text,,,
Currency of ARR,Text,,,
ACV,Text,,,
Currency of ACV,Text,,,
Source origin,Text,,,
Source origin ID,Text,,,
Source channel,Text,,,
Source channel ID,Text,,,
FDD Lead,Text,Jodi Oosthuizen,,
Currency of Headline Consideration,Text,,,
Introduction Date,Date,06/02/2025,,04/04/2026
First Meeting Date,Date,22/04/2025,,
Offer Made Date,Date,,,
HoTs Issued Date,Date,,,
HoTs Signed Date,Date,,,
Date DD Completed,Date,,,
Deal Exchanged Date,Date,,,
Deal Complete Date,Date,,,
Introductory Company,Text,Flowbird Ltd,Flowbird Org Ltd,Flowbird Org Ltd
Introductory Contact,Text,Gavin Tanton,Gavin Tanton,Gavin Tanton
Broker Fee (?),Text,?120.00,,
Currency of Broker Fee (?),Text,GBP,,
Law Firm (Sell Side),Text,Flowbird Ltd,Flowbird Ltd,
Lawyer Contact (Sell Side),Text,Gavin Tanton,Gavin Tanton,
Law Firm (Buy Side),Text,Flowbird Ltd,Flowbird Org Ltd,
Lawyer Contact (Buy Side),Text,Gavin Tanton,Gavin Tanton,
RI / Adviser,Text,,,
Currency of RI / Adviser,Text,GBP,GBP,GBP
NB / Adviser,Text,,,
Currency of NB / Adviser,Text,GBP,GBP,GBP
Latest Recurring Income,Text,,,
Currency of Latest Recurring Income,Text,,,
Latest New Business,Text,,,
Currency of Latest New Business,Text,,,
Latest Turnover,Text,,,
Currency of Latest Turnover,Text,,,
Organic Growth in RI %,Text,,,
Forecast Recurring Income,Text,,,
Currency of Forecast Recurring Income,Text,,,
Forecast New Business,Text,,,
Currency of Forecast New Business,Text,,,
Forecast Turnover,Text,,,
Currency of Forecast Turnover,Text,,,
Expected Adviser Cost,Text,,,
Currency of Expected Adviser Cost,Text,,,
Existing EBITDA,Text,,,
Currency of Existing EBITDA,Text,,,
Perspective EBITDA,Text,"?2,000.00",,
Currency of Perspective EBITDA,Text,,GBP,GBP
Perspective EBITDA (post-Cambridge),Text,,,
Currency of Perspective EBITDA (post-Cambridge),Text,,GBP,GBP
EBITDA Margin %,Text,,,
Assets Under Advice,Text,,,
Currency of Assets Under Advice,Text,,,
Expected Cambridge Opportunity (AuM),Text,,,
Currency of Expected Cambridge Opportunity (AuM),Text,,,
Expected Cambridge Opportunity (EBITDA),Text,,,
Currency of Expected Cambridge Opportunity (EBITDA),Text,,,
Households per Adviser,Text,,,
Support Staff to Advisor Cost Ratio %,Text,,,
Board Report Issued,Date,,,
Target Exchange,Date,,25/03/2026,
Target Completion,Date,14/02/2025,26/03/2026,
FDD / RDD Kick-Off Call,Date,,,
FDD IRL Sent,Date,,,
DB Suitability / Redress Review Complete,Date,,,
RDD Data Book Complete,Date,,,
File Review Sample (non-DB) Complete,Date,,,
RDD Question Pack Response Received,Date,,,
FDD Additional Data Request Sent,Date,,,
Snapshot Email Circulated,Date,,,
FDD Question Pack Sent,Date,,,
FDD Question Pack Call,Date,,,
Lawyers Appointed,Date,,,
SPA Issued,Date,,,
SPA Mark-Up Received,Date,,,
HR and Ops DD Complete,Date,,25/03/2026,
FDD Report Drafted,Date,,,
RDD Report Drafted,Date,,,
FDD Report Reviewed,Date,,,
RDD Report Reviewed,Date,01/10/2024,,
LDD Finalised,Date,,,
FDD / RDD Reports Approved,Date,,,
AuA / Household,Text,,,
Currency of AuA / Household,Text,GBP,GBP,GBP
AuA / Client,Text,,,
Currency of AuA / Client,Text,GBP,GBP,GBP
Number of Clients,Text,,,
Number of Households,Text,,,
Average Age of Clients,Text,,,
Average Age of Clients (Weighted),Text,,,
Typical Initial Fee,Text,,,
Typical OAC % / Fixed Fees,Text,,,
Platforms,Text,,,
Number of Advisers Required,Text,,,
Number of Employed Advisors Retained,Text,0,0,0
Number of Self-Employed Advisors Retained,Text,,,
Number of Paraplanners Retained,Text,,,
Number of Administrators Retained,Text,,,
Number of Other Staff Retained,Text,,,
Number of Staff Exiting on Completion,Text,,,
Number of Staff to be Redeployed to Group Roles,Text,,,
Recruitment Requirements,Text,,,
Contact 2 Name,Text,Gavin Tanton,Gavin Tanton,
Contact 2 Email,Text,gavint@flowbird.co.uk,gavint@flowbird.co.uk,
Contact 2 Phone,Text,(012) 337-43240,(012) 337-4324,
Contact 3 Name,Text,Gavin Tanton,Gavin Tanton,
Contact 3 Email,Text,gavint@flowbird.co.uk,gavint-2@flowbird.co.uk,
Contact 3 Phone,Text,(012) 337-43240,(123) 123-1234,
FCA / PI %,Text,,,
Variable Cost %,Text,,,
Fixed Costs,Text,,,
Currency of Fixed Costs,Text,,,
Defined Benefit Transfers,Text,,,
Defined Benefit Transfer Total (?),Text,,,
Currency of Defined Benefit Transfer Total (?),Text,,,
Perspective Regional Director old,Text,"Dan Stokoe,James Baird",,
Agreed Perspective Trading Style,Text,,,
Back Office System,Text,test??,,
Document Management System,Text,,,
